Season,Round,Date,Day,Kickoff,Home Team,Away Team,Venue,Weather Summary,Temperature (°C),Rain (mm),Home Goals,Home Points,Home Total,Away Goals,Away Points,Away Total,Home Team Media Mentions,Away Team Media Mentions,Home team self assessment,Away team self assessment,Home team external assessment,Away team external assessment,Home team injuries (num),Away team injuries (num),Home team injuries,Away team injuries,Field Relative Preparation,Pollen count,Air quality,Random Column
2021,1,19/03/2021,Friday,19/03/2021 19:20,Coastal Bay Sharks,Outback Eagles,"Oceanview Oval (Coastal Bay, VIC)",Light showers,27.1,3.1,6,5,41,7,8,50,2,3,5.92535307,1.400750148,46.56093783,50.13956815,2,1,Y,Yes,-0.095146191,0.259752325,0.966889074,-143.605803
2021,1,20/03/2021,Saturday,20/03/2021 13:45,Capital Comets,Northern Range Roos,"Galaxy Oval (Capital City, ACT)",Partly Cloudy,12.8,4,12,6,78,7,4,46,0,1,5.294416964,2.768816917,45.32004013,69.87283327,0,1,No,YES,3.659875794,0.070765395,0.65572233,318.9253377
2021,1,20/03/2021,Saturday,20/03/2021 15:20,Eastern Falcons,Redwood Devils,"Falcon’s Nest Stadium (Eastport, VIC)",Overcast,18.3,1.6,13,10,88,10,6,66,0,0,7.068205095,4.226689213,48.43741339,40.3263456,0,0,NO,No,-11.21318936,0.746065998,0.511635407,113.6578527
2021,1,20/03/2021,Saturday,20/03/2021 17:40,Port Sovereign Pirates,Western Thunderhawks,Sovereign Harbour,Overcast,10.4,2.1,11,13,79,18,8,116,2,3,5.303112135,1.870140822,45.77723866,56.90032798,0,0,N,F,26.61739935,0.161733383,1.14527256,-418.0200268
2021,1,20/03/2021,Saturday,20/03/2021 19:25,Central City Titans,Highlands Power,"Metropolis Dome (Melbourne CBD, VIC)",Partly cloudy,23,25,6,4,40,11,6,72,2,1,4.611148247,7.213913983,54.66204363,28.4224483,0,0,F,No,10.94516552,0.628217783,0.390720345,-394.3943
2021,1,21/03/2021,Sunday,21/03/2021 13:10,Desert Plains Dingoes,Southern Mariners,Red Dust Park,Partly cloudy,10.8,2.1,10,3,63,8,3,51,3,4,5.540969829,5.693321047,47.08048422,83.11110466,0,0,N,N,15.73917193,0.345191545,0.15503436,92.98028433
2021,1,21/03/2021,Sunday,21/03/2021 15:20,Riverland Rams,Silver Creek Hawks,"Murray Plains Ground (Riverland, SA)",Light Showers,16.6,4,14,7,91,10,13,73,3,0,4.945463065,3.934332104,41.75339012,58.15536299,1,2,T,Y,-27.5856579,0.193582853,1.154478061,145.355529
2021,1,21/03/2021,Sunday,21/03/2021 17:10,Ironclad Bulldogs,Mountview Miners,"Foundry Oval (Ironclad, VIC)",Overcast,16.9,2.3,7,5,47,7,8,50,4,0,2.996793598,7.066772677,32.09600359,60.20497022,2,1,YES,Yes,24.85993273,0.120704151,0.311879533,-82.69839503
2021,1,21/03/2021,Sunday,21/03/2021 19:00,Harbour Saints,Sunvale Scorchers,"Cathedral Park (Harbour City, NSW)",Light showers,20.7,2.6,20,6,126,9,6,60,3,3,5.496514937,3.75644419,43.44783029,43.41811211,1,0,YES,NO,15.10249755,0.553437203,0.844772138,663.094759
2021,2,26/03/2021,Friday,26/03/2021 19:20,Northern Range Roos,Coastal Bay Sharks,"Summit Park (Northridge, NSW)",Windy,18.1,2,11,6,72,8,5,53,1,0,5.160043264,4.403683421,53.46456235,52.94100256,0,1,FALSE,YES,-18.68026997,0.183391473,0.26205128,127.6010192
2021,2,27/03/2021,Saturday,27/03/2021 13:45,Eastern Falcons,Outback Eagles,"Falcon’s Nest Stadium (Eastport, VIC)",Partly Cloudy,27.1,1.9,12,10,82,7,7,49,1,8,3.428763745,4.804162428,54.99282665,59.02849476,0,1,F,Yes,11.64228248,0.58784569,0.69968957,216.0814924
2021,2,27/03/2021,Saturday,27/03/2021 15:20,Capital Comets,Western Thunderhawks,Galaxy Oval,Light showers,14.3,2.2,13,6,84,15,7,97,4,0,4.962933075,2.247285053,57.32744776,52.03013818,0,1,N,Yes,-8.925214349,0.210702136,0.816109749,-231.9514474
2021,2,27/03/2021,Saturday,27/03/2021 17:40,Central City Titans,Redwood Devils,"Metropolis Dome (Melbourne CBD, VIC)",Light showers,12.2,2,8,5,53,8,5,53,12,1,4.535594202,3.476965723,77.46831078,53.33035592,1,0,TRUE,FALSE,11.01877264,0.572893242,0.414424026,-88.77801517
2021,2,27/03/2021,Saturday,27/03/2021 19:25,Port Sovereign Pirates,Southern Mariners,Sovereign Harbour,Drizzle,17,25,9,11,65,9,4,58,5,4,6.671844985,4.61534032,72.88792384,58.53009088,0,0,FALSE,FALSE,21.40261351,0.103993552,0.82928756,30.75990675
2021,2,28/03/2021,Sunday,28/03/2021 13:10,Riverland Rams,Highlands Power,"Murray Plains Ground (Riverland, SA)",Partly Cloudy,21.9,2.7,12,6,78,15,9,99,5,6,4.116244932,4.314699644,48.86591636,53.36817544,0,0,No,FALSE,8.429139138,0.115383361,0.971418038,-179.3039777
2021,2,28/03/2021,Sunday,28/03/2021 15:20,Desert Plains Dingoes,Mountview Miners,Red Dust Park,Partly Cloudy,20.2,0.5,13,4,82,9,10,64,4,1,6.613924346,1.624565978,47.3434645,42.85822721,0,2,No,T,-17.45965004,0.353592427,0.294415757,65.03526899
2021,2,28/03/2021,Sunday,28/03/2021 17:10,Harbour Saints,Silver Creek Hawks,"Cathedral Park (Harbour City, NSW)",Windy,27.5,2.7,20,7,127,8,11,59,2,1,5.481837636,3.713437577,34.79413875,62.76629649,1,0,YES,FALSE,25.83237087,0.567362605,0.614046105,563.9392942
2021,2,28/03/2021,Sunday,28/03/2021 19:00,Ironclad Bulldogs,Sunvale Scorchers,Foundry Oval,Drizzle,13.5,3.4,8,4,52,9,6,60,1,0,4.735078666,3.808832091,28.68576843,69.72405613,2,1,Yes,T,13.28087873,-0.016525907,0.386271849,-169.9028016
2021,3,2/04/2021,Friday,2/04/2021 19:20,Coastal Bay Sharks,Eastern Falcons,"Oceanview Oval (Coastal Bay, VIC)",Sunny,27.3,3,6,4,40,12,9,81,0,3,7.962852993,4.579327708,70.41800216,58.11771933,0,1,N,YES,-3.107648603,0.435738324,0.991399396,-392.8500472
2021,3,3/04/2021,Saturday,3/04/2021 13:45,Northern Range Roos,Western Thunderhawks,Summit Park,Windy,20.6,3.2,11,5,71,17,8,110,2,0,6.295861586,5.782516601,57.51248066,23.81285851,0,1,No,Yes,17.45915671,-0.019441508,0.29141398,-360.6986908
2021,3,3/04/2021,Saturday,3/04/2021 15:20,Central City Titans,Outback Eagles,"Metropolis Dome (Melbourne CBD, VIC)",Sunny,15.1,1.4,8,5,53,6,6,42,12,3,5.249364929,5.987284847,65.21659485,47.42278686,0,0,F,No,4.247850154,0.761840173,0.327942692,16.8112511
2021,3,3/04/2021,Saturday,3/04/2021 17:40,Capital Comets,Southern Mariners,Galaxy Oval,Windy,11.3,2.6,10,5,65,6,3,39,1,2,5.925002492,5.01210116,81.4913122,68.74830795,0,0,No,F,-1.58943905,0.206272321,0.70990719,198.8083739
2021,3,3/04/2021,Saturday,3/04/2021 19:25,Riverland Rams,Redwood Devils,"Murray Plains Ground (Riverland, SA)",Sunny,23.9,3.1,14,6,90,11,7,73,1,0,3.653409837,3.63647024,14.45437145,23.30394559,0,1,N,Yes,-1.850612861,0.144127787,0.704945081,145.6379685
2021,3,4/04/2021,Sunday,4/04/2021 13:10,Port Sovereign Pirates,Mountview Miners,"Sovereign Harbour (Port Sovereign, SA)",Overcast,24.2,3.4,10,11,71,8,9,57,3,0,6.133034888,4.923055197,27.56704978,71.33040211,0,2,No,YES,-10.36731325,0.258832846,1.083010761,11.22604142
2021,3,4/04/2021,Sunday,4/04/2021 15:20,Harbour Saints,Highlands Power,"Cathedral Park (Harbour City, NSW)",Overcast,11.3,1.7,18,6,114,12,8,80,4,0,2.905753417,6.033698257,70.76126862,29.67730591,0,0,N,NO,-15.38527866,0.502359285,0.90470221,234.6700458
2021,3,4/04/2021,Sunday,4/04/2021 17:10,Desert Plains Dingoes,Sunvale Scorchers,"Red Dust Park (Alice Springs, NT)",Sunny,21.2,2.2,13,4,82,11,7,73,2,3,4.201072513,2.648207134,63.62928464,47.39825524,0,1,F,TRUE,-6.878862509,0.20435526,0.193647385,68.67126018
2021,3,4/04/2021,Sunday,4/04/2021 19:00,Ironclad Bulldogs,Silver Creek Hawks,"Foundry Oval (Ironclad, VIC)",Partly cloudy,11.7,4,8,5,53,8,10,-58,4,9,4.566354556,6.130484005,68.85579583,74.74750704,0,1,N,Yes,14.1714126,0.090598533,0.163445119,6.453669541
2021,4,9/04/2021,Friday,9/04/2021 19:20,Western Thunderhawks,Coastal Bay Sharks,Stormfield Arena,Windy,23.1,1.4,19,8,122,8,5,53,0,0,3.420350747,4.89199031,64.58693568,53.56878246,0,2,FALSE,T,0.496973279,0.953596216,0.510175316,579.3921099
2021,4,10/04/2021,Saturday,10/04/2021 13:45,Central City Titans,Eastern Falcons,"Metropolis Dome (Melbourne CBD, VIC)",Drizzle,26,1.5,7,5,47,10,8,68,0,3,5.007364133,5.041835978,29.94299401,48.89211707,0,0,FALSE,F,0.703933005,0.713922451,0.557761716,-222.243956
2021,4,10/04/2021,Saturday,10/04/2021 15:20,Northern Range Roos,Southern Mariners,"Summit Park (Northridge, NSW)",Drizzle,25.3,2.4,8,5,53,9,4,58,2,7,6.894802864,5.04171669,72.81428889,53.98622571,2,1,Yes,Y,2.296318857,0.05305306,0.148652507,-127.3415897
2021,4,10/04/2021,Saturday,10/04/2021 17:40,Riverland Rams,Outback Eagles,"Murray Plains Ground (Riverland, SA)",Windy,20.1,25,14,6,90,8,9,57,13,3,5.067918801,6.258798242,58.80605042,42.73726825,1,0,TRUE,NO,-12.09600014,0.26544376,0.891156861,294.6230217
2021,4,10/04/2021,Saturday,10/04/2021 19:25,Capital Comets,Mountview Miners,"Galaxy Oval (Capital City, ACT)",Sunny,22.8,4.1,10,5,65,6,7,43,9,7,4.686997577,3.648022371,65.83237697,41.4745086,0,0,N,F,1.145313675,-0.061946578,0.976543418,138.7442809
2021,4,11/04/2021,Sunday,11/04/2021 13:10,Harbour Saints,Redwood Devils,"Cathedral Park (Harbour City, NSW)",Partly cloudy,10.5,1.1,20,7,127,9,6,60,1,1,4.724706563,5.144203523,51.88359954,51.84735183,0,0,N,FALSE,-0.906565749,0.350465876,0.679925875,621.1389834
2021,4,11/04/2021,Sunday,11/04/2021 15:20,Port Sovereign Pirates,Sunvale Scorchers,"Sovereign Harbour (Port Sovereign, SA)",Light showers,26.3,3.5,10,13,73,11,7,73,0,2,6.06341404,2.233622998,64.1236472,62.86299149,1,0,Y,NO,7.245193667,0.175814023,1.045120596,28.62437179
2021,4,11/04/2021,Sunday,11/04/2021 17:10,Ironclad Bulldogs,Highlands Power,"Foundry Oval (Ironclad, VIC)",Windy,19.7,4.1,5,3,33,11,7,73,1,1,4.105801993,5.333214187,47.01365964,48.41696652,0,2,FALSE,TRUE,3.957215172,0.239754603,0.285460624,-422.9519486
2021,4,11/04/2021,Sunday,11/04/2021 19:00,Desert Plains Dingoes,Silver Creek Hawks,"Red Dust Park (Alice Springs, NT)",Light Showers,26.7,3.3,13,4,82,9,11,65,0,0,3.63566536,4.418139126,51.80126254,47.99287031,1,0,Yes,No,-19.88415413,0.26170664,0.198273845,80.77480005
2021,5,16/04/2021,Friday,16/04/2021 19:20,Coastal Bay Sharks,Central City Titans,Oceanview Oval,Windy,15.3,2.4,5,3,33,7,5,47,1,4,4.958819086,8.346231736,45.1900167,45.45206522,0,1,N,T,-21.52378997,0.165060784,0.896776233,-209.0981472
2021,5,17/04/2021,Saturday,17/04/2021 13:45,Western Thunderhawks,Southern Mariners,Stormfield Arena,Light showers,13.4,1.5,16,7,103,9,4,58,7,2,4.299015505,5.45086636,48.53570404,34.89053689,0,0,No,NO,2.656687609,0.797358329,0.50565812,425.2780763
2021,5,17/04/2021,Saturday,17/04/2021 15:20,Riverland Rams,Eastern Falcons,"Murray Plains Ground (Riverland, SA)",Drizzle,25.9,1.7,14,6,90,13,11,89,3,2,8.624007732,5.553229839,46.55305031,40.18363202,0,0,FALSE,No,19.81560064,0.344990312,0.915071624,-113.155654
2021,5,17/04/2021,Saturday,17/04/2021 17:40,Northern Range Roos,Mountview Miners,Summit Park,Sunny,15.7,2.1,10,5,65,9,10,64,2,1,3.920906297,6.104445611,50.17655217,65.13157436,1,2,Yes,TRUE,5.891609122,0.237109274,0.370288044,-92.49077844
2021,5,17/04/2021,Saturday,17/04/2021 19:25,Harbour Saints,Outback Eagles,"Cathedral Park (Harbour City, NSW)",Sunny,14.9,1.2,20,6,126,6,7,43,1,0,3.735551921,5.030283909,53.04443934,51.97837833,0,0,FALSE,N,-1.318919299,0.580215904,0.681647181,805.5988601
2021,5,18/04/2021,Sunday,18/04/2021 13:10,Capital Comets,Sunvale Scorchers,Galaxy Oval,Drizzle,192,1.5,13,7,85,10,7,67,10,1,4.157308608,3.23600188,76.88229074,30.53092175,0,1,F,Y,18.33319623,0.165486702,0.717578016,90.05138398
2021,5,18/04/2021,Sunday,18/04/2021 15:20,Ironclad Bulldogs,Redwood Devils,"Foundry Oval (Ironclad, VIC)",Sunny,18.7,1.4,9,5,59,10,6,66,4,4,5.039148699,4.843101459,36.84528897,50.50853431,1,1,YES,Y,-6.354819831,0.261518943,0.43638087,-115.4676303
2021,5,18/04/2021,Sunday,18/04/2021 17:10,Pt. Sovereign Pirates,Silver Creek Hawks,"Sovereign Harbour (Port Sovereign, SA)",Overcast,15.8,3.4,11,13,79,10,12,72,9,8,3.719991331,7.461014994,67.38419055,73.16982624,0,1,N,Y,-5.630154201,0.3395574,1.101200713,120.9259076
2021,5,18/04/2021,Sunday,18/04/2021 19:00,Desert Plains Dingoes,Highlands Power,"Red Dust Park (Alice Springs, NT)",Sunny,17.3,25,10,3,63,13,8,86,2,2,5.755374642,5.277251386,53.55366209,52.044241,0,2,FALSE,YES,-9.225643003,0.334950133,0.142433554,-272.6620493
2021,6,23/04/2021,Friday,23/04/2021 19:20,Southern Mariners,Coastal Bay Sharks,"Seagate Oval (Southport, TAS)",Light Showers,14.5,25,9,4,58,5,3,33,1,0,6.452342196,6.475776052,29.91976038,65.79072743,0,0,No,FALSE,-12.61795053,0.185454274,0.958264033,252.7566073
2021,6,24/04/2021,Saturday,24/04/2021 13:45,Riverland Rams,Central City Titans,"Murray Plains Ground (Riverland, SA)",Partly cloudy,22.8,2.1,12,5,77,9,5,59,2,6,2.372346148,4.685600043,59.97610364,34.72511198,0,0,FALSE,NO,-4.94229819,0.208033673,0.729567728,67.14124583
2021,6,24/04/2021,Saturday,24/04/2021 15:20,Western Thunderhawks,Mountview Miners,Stormfield Arena,Sunny,21.4,2.4,17,7,109,8,10,58,0,0,3.632329714,5.884346616,31.40280191,46.94891733,1,0,T,No,-13.73131183,0.885566083,0.520417083,443.7558625
2021,6,24/04/2021,Saturday,24/04/2021 17:40,Harbour Saints,Eastern Falcons,"Cathedral Park (Harbour City, NSW)",Drizzle,12.6,2.8,18,5,113,10,8,68,4,3,4.820648863,3.517988208,44.19468225,23.60163698,0,0,NO,FALSE,-1.060029039,0.170682851,0.663827466,414.8896579
2021,6,24/04/2021,Saturday,24/04/2021 19:25,Northern Range Roos,Sunvale Scorchers,"Summit Park (Northridge, NSW)",Light showers,11.5,25,11,6,72,11,9,75,0,1,3.491177888,3.552095475,39.30362585,72.53109685,2,0,TRUE,N,25.14049724,-0.013751773,0.326247136,-48.37084161
2021,6,25/04/2021,Sunday,25/04/2021 13:10,Ironclad Bulldogs,Outback Eagles,Foundry Oval,Overcast,14.4,2.4,8,4,52,6,7,43,4,2,2.683525397,4.781535194,77.41141353,44.94201161,1,0,Y,N,25.48223692,0.090018848,0.277877975,25.44429411
2021,6,25/04/2021,Sunday,25/04/2021 15:20,Capital Comets,Silver Creek Hawks,Galaxy Oval,Partly cloudy,21.4,3.9,12,6,78,8,10,58,2,0,5.569424214,4.534229634,59.50329051,84.56160087,1,1,TRUE,Y,-3.227900083,0.079217628,0.760765907,125.8577331
2021,6,25/04/2021,Sunday,25/04/2021 17:10,Desert Plains Dingoes,Redwood Devils,Red Dust Park,Overcast,24.7,2.1,12,5,77,10,6,66,1,1,4.530489704,6.007374553,36.89920459,44.71727822,0,0,FALSE,F,10.9302181,0.3017217,0.156247263,165.7290052
2021,6,25/04/2021,Sunday,25/04/2021 19:00,Pt. Sovereign Pirates,Highlands Power,"Sovereign Harbour (Port Sovereign, SA)",Overcast,13.4,2.9,9,11,65,14,8,92,1,7,7.006568543,6.174546562,43.2152889,61.18653157,0,1,NO,T,-3.857604048,0.251344168,0.823476801,-354.21605
2021,7,30/04/2021,Friday,30/04/2021 19:20,Coastal Bay Sharks,Riverland Rams,Oceanview Oval,Windy,25.5,1.4,9,6,60,15,6,96,2,9,4.49188966,6.273596412,49.82525601,64.38429534,1,0,Y,N,-9.555528216,0.288772243,0.917875218,-442.8533217
2021,7,1/05/2021,Saturday,1/05/2021 13:45,Southern Mariners,Mountview Miners,"Seagate Oval (Southport, TAS)",Partly cloudy,192,1.8,8,4,52,7,7,49,2,5,2.66485142,5.866310011,69.72380078,36.72414227,0,0,FALSE,No,-6.630621282,0.16827274,0.834928177,-11.22134889
2021,7,1/05/2021,Saturday,1/05/2021 15:20,Harbour Saints,Central City Titans,"Cathedral Park (Harbour City, NSW)",Overcast,16.3,2.9,16,5,101,5,4,34,1,1,6.698308426,6.474452191,26.31308746,53.37093492,0,0,No,F,-19.4069358,0.564066015,0.812040576,570.6385015
2021,7,1/05/2021,Saturday,1/05/2021 17:40,Western Thunderhawks,Sunvale Scorchers,Stormfield Arena,Sunny,22.2,0,20,9,129,13,9,87,0,1,3.210994211,5.509162273,47.80751326,69.15356881,1,1,Y,Yes,-22.89397917,0.77727166,0.523019397,363.0465218
